"key","timestamp","wall_time","imu_temp","imu_ax","imu_ay","imu_az","imu_gx","imu_gy","imu_gz","msu_ax","msu_ay","msu_az","baro_temp","baro"
"1","1538105578.8467731","2018-09-28_113258","54.022","-0.543","0.476","-0.76","-0.732","-2.563","0.008","1.587","57.486","-32.554","51.49","1006.36"
"2","1538105578.8720944","2018-09-28_113258","54.04","-0.545","0.473","-0.767","-0.237","-2.052","0.183","2.292","55.718","-32.554","51.49","1006.36"
"3","1538105578.8954253","2018-09-28_113258","54.022","-0.545","0.477","-0.761","-0.328","-1.228","-0.793","2.292","55.01","-33.576","51.49","1006.36"
"4","1538105578.9205644","2018-09-28_113258","54.037","-0.543","0.481","-0.757","-0.381","0.183","-1.06","2.821","55.187","-32.724","51.49","1006.36"
"5","1538105578.9437902","2018-09-28_113258","54.019","-0.543","0.483","-0.754","0.168","0.877","-0.671","2.292","55.718","-33.235","51.49","1006.36"
"6","1538105578.975108","2018-09-28_113258","54.019","-0.547","0.485","-0.76","-0.16","1.038","-0.58","3.526","54.126","-34.088","51.5","1006.34"
"7","1538105578.9982655","2018-09-28_113258","54.043","-0.551","0.488","-0.752","-0.687","0.45","-0.168","2.997","54.656","-34.258","51.5","1006.34"
"8","1538105579.0216055","2018-09-28_113259","54.046","-0.551","0.489","-0.756","-0.427","-0.13","-0.183","2.468","54.479","-34.088","51.5","1006.34"
"9","1538105579.0454094","2018-09-28_113259","54.07","-0.554","0.49","-0.763","-0.816","-0.664","-0.145","3.35","55.718","-33.917","51.49","1006.34"
"10","1538105579.0740945","2018-09-28_113259","54.052","-0.552","0.485","-0.758","-1.534","-1.312","0.031","2.644","54.656","-33.576","51.49","1006.34"
"11","1538105579.099482","2018-09-28_113259","54.058","-0.549","0.478","-0.756","-1.343","-2.068","0.015","2.116","54.833","-34.088","51.49","1006.34"
"12","1538105579.1235697","2018-09-28_113259","54.034","-0.548","0.473","-0.759","-0.877","-2.426","-0.275","2.997","55.364","-31.872","51.49","1006.35"
"13","1538105579.1490889","2018-09-28_113259","54.01","-0.547","0.473","-0.756","-0.259","-2.205","-0.908","2.821","54.833","-32.724","51.49","1006.35"
"14","1538105579.1765192","2018-09-28_113259","54.037","-0.548","0.479","-0.759","-0.389","-1.495","-1.175","3.173","55.187","-34.088","51.5","1006.35"
"15","1538105579.203214","2018-09-28_113259","54.055","-0.547","0.479","-0.76","-0.58","-0.885","-0.633","2.644","54.656","-32.895","51.5","1006.35"
"16","1538105579.2279358","2018-09-28_113259","54.055","-0.549","0.475","-0.76","-0.443","-1.106","-0.496","2.292","55.718","-33.235","51.5","1006.35"
"17","1538105579.252029","2018-09-28_113259","54.037","-0.546","0.48","-0.761","-0.229","-1.549","-0.465","3.35","55.718","-32.895","51.5","1006.35"
"18","1538105579.2790525","2018-09-28_113259","54.019","-0.546","0.483","-0.758","0.13","-1.053","-0.954","3.35","56.071","-33.235","51.5","1006.35"
"19","1538105579.3043597","2018-09-28_113259","54.055","-0.545","0.486","-0.756","-0.343","0.084","-0.389","3.526","56.248","-34.088","51.5","1006.35"
"20","1538105579.3296509","2018-09-28_113259","54.085","-0.547","0.484","-0.753","-0.664","1.152","-0.13","3.702","53.595","-33.917","51.5","1006.37"
"21","1538105579.3532138","2018-09-28_113259","54.016","-0.552","0.481","-0.754","-0.519","1.678","-0.214","2.997","56.071","-33.235","51.5","1006.37"
"22","1538105579.3811002","2018-09-28_113259","54.046","-0.549","0.478","-0.754","-0.664","0.938","-0.031","3.173","54.833","-32.724","51.5","1006.4"
"23","1538105579.4075892","2018-09-28_113259","54.055","-0.552","0.476","-0.753","-0.13","-0.458","0.397","2.997","57.133","-33.235","51.5","1006.4"
"24","1538105579.4311895","2018-09-28_113259","54.061","-0.551","0.476","-0.761","0.008","-1.526","-0.099","3.173","54.479","-34.429","51.5","1006.4"
"25","1538105579.4540503","2018-09-28_113259","54.058","-0.551","0.48","-0.759","0.305","-1.297","-0.587","2.292","55.718","-34.599","51.5","1006.37"
"26","1538105579.491622","2018-09-28_113259","54.04","-0.55","0.477","-0.758","-0.191","0.71","-1.099","2.468","55.541","-32.724","51.5","1006.37"
"27","1538105579.519349","2018-09-28_113259","54.067","-0.551","0.48","-0.759","-0.13","1.266","-0.717","2.116","55.541","-33.747","51.5","1006.34"
"28","1538105579.54235","2018-09-28_113259","54.049","-0.55","0.482","-0.762","-0.32","0.71","-0.465","1.939","55.01","-33.917","51.5","1006.34"
"29","1538105579.5673048","2018-09-28_113259","54.04","-0.551","0.479","-0.755","-0.725","-0.008","-0.023","2.997","54.302","-33.917","51.5","1006.34"
"30","1538105579.592466","2018-09-28_113259","54.07","-0.546","0.479","-0.756","-0.946","-0.458","-0.32","1.939","56.071","-33.917","51.5","1006.36"
"31","1538105579.6201823","2018-09-28_113259","54.058","-0.549","0.478","-0.759","-0.87","0.206","-0.206","3.702","55.364","-32.895","51.5","1006.36"
"32","1538105579.666857","2018-09-28_113259","54.076","-0.55","0.48","-0.755","-0.435","0.786","-0.359","2.292","56.425","-33.576","51.5","1006.34"
"33","1538105579.6928074","2018-09-28_113259","54.064","-0.555","0.487","-0.759","-1.289","1.06","-0.778","1.587","56.071","-34.599","51.5","1006.34"
"34","1538105579.7160056","2018-09-28_113259","54.046","-0.554","0.482","-0.757","-1.404","0.641","-0.725","2.468","55.894","-33.406","51.5","1006.36"
"35","1538105579.738974","2018-09-28_113259","54.067","-0.552","0.482","-0.751","-1.526","-0.923","-0.71","3.173","54.126","-34.769","51.5","1006.36"
"36","1538105579.7637181","2018-09-28_113259","54.061","-0.556","0.478","-0.758","-1.228","-2.35","-0.458","4.231","54.479","-34.088","51.5","1006.36"
"37","1538105579.7955885","2018-09-28_113259","54.073","-0.552","0.48","-0.76","-1.564","-2.693","-0.366","2.468","55.894","-32.383","51.5","1006.36"
"38","1538105579.8224537","2018-09-28_113259","54.064","-0.549","0.478","-0.754","-2.335","-3.029","-0.824","2.116","56.248","-33.747","51.5","1006.36"
"39","1538105579.847708","2018-09-28_113259","54.046","-0.547","0.468","-0.761","-1.343","-3.25","-1.297","3.878","55.187","-34.429","51.5","1006.35"
"40","1538105579.8729522","2018-09-28_113259","54.076","-0.549","0.475","-0.764","-0.244","-2.716","-1.869","1.939","55.364","-32.895","51.5","1006.36"
"41","1538105579.8972163","2018-09-28_113259","54.064","-0.546","0.484","-0.767","-1.015","-1.648","-2.174","1.939","55.01","-33.576","51.5","1006.36"
"42","1538105579.9204946","2018-09-28_113259","54.064","-0.546","0.483","-0.763","-1.579","-0.74","-1.228","3.35","55.364","-34.258","51.5","1006.34"
"43","1538105579.9433084","2018-09-28_113259","54.046","-0.55","0.482","-0.76","-1.175","0.618","-1.099","2.644","54.656","-33.576","51.5","1006.34"
"44","1538105579.9661617","2018-09-28_113259","54.064","-0.551","0.481","-0.76","-0.648","1.747","-0.572","2.997","54.656","-32.554","51.5","1006.34"
"45","1538105579.9903128","2018-09-28_113259","54.07","-0.552","0.482","-0.75","-1.823","2.09","-1.167","2.292","55.01","-33.917","51.5","1006.33"
"46","1538105580.0149064","2018-09-28_113300","54.067","-0.552","0.476","-0.751","-1.305","1.106","-1.053","2.468","56.956","-33.406","51.5","1006.33"
"47","1538105580.0381641","2018-09-28_113300","54.064","-0.558","0.476","-0.754","-0.992","0.771","-0.771","2.997","54.656","-33.917","51.5","1006.33"
"48","1538105580.0679436","2018-09-28_113300","54.043","-0.562","0.482","-0.756","-0.549","1.076","-0.687","3.173","55.541","-34.429","51.5","1006.37"
"49","1538105580.092003","2018-09-28_113300","54.046","-0.558","0.479","-0.758","-0.328","0.214","0.175","0.705","53.772","-33.406","51.5","1006.37"
"50","1538105580.1150355","2018-09-28_113300","54.043","-0.561","0.481","-0.759","-1.678","-2.48","-1.724","3.35","55.718","-34.258","51.5","1006.37"
"51","1538105580.13785","2018-09-28_113300","54.073","-0.558","0.483","-0.756","-1.625","-4.12","-4.692","3.702","53.949","-33.576","51.51","1006.35"
"52","1538105580.1614025","2018-09-28_113300","54.076","-0.554","0.482","-0.75","-2.937","-2.808","-4.417","1.939","57.133","-33.576","51.51","1006.35"
"53","1538105580.1844826","2018-09-28_113300","54.082","-0.554","0.478","-0.752","-3.059","-1.633","-3.769","2.821","57.309","-33.747","51.51","1006.35"
"54","1538105580.2074325","2018-09-28_113300","54.052","-0.556","0.477","-0.747","-1.404","-1.083","-3.647","2.644","56.779","-34.258","51.51","1006.35"
"55","1538105580.2350883","2018-09-28_113300","54.049","-0.554","0.477","-0.754","-0.977","-1.442","-2.792","1.939","55.718","-33.917","51.51","1006.35"
"56","1538105580.258661","2018-09-28_113300","54.079","-0.558","0.477","-0.758","-1.236","-2.388","-2.327","2.292","56.071","-32.895","51.51","1006.34"
"57","1538105580.2837837","2018-09-28_113300","54.073","-0.556","0.478","-0.755","-1.068","-3.624","-3.502","1.587","56.779","-33.917","51.51","1006.34"
"58","1538105580.3068836","2018-09-28_113300","54.1","-0.553","0.474","-0.745","-0.244","-2.449","-3.754","2.997","56.779","-33.235","51.51","1006.34"
"59","1538105580.3295784","2018-09-28_113300","54.07","-0.554","0.474","-0.745","0.893","-1.129","-2.556","3.702","55.364","-33.235","51.51","1006.35"
"60","1538105580.352245","2018-09-28_113300","54.088","-0.561","0.482","-0.755","0.809","-1.389","-2.396","2.292","55.364","-33.235","51.51","1006.35"
"61","1538105580.3752737","2018-09-28_113300","54.079","-0.557","0.482","-0.757","-2.205","-2.998","-4.982","4.055","56.071","-34.258","51.51","1006.35"
"62","1538105580.3990326","2018-09-28_113300","54.1","-0.561","0.463","-0.738","-2.037","-3.555","-8.247","4.231","57.309","-33.406","51.51","1006.34"
"63","1538105580.422021","2018-09-28_113300","54.076","-0.559","0.458","-0.751","1.183","-4.333","-5.577","2.644","56.071","-32.554","51.51","1006.34"
"64","1538105580.445506","2018-09-28_113300","54.052","-0.561","0.476","-0.744","0.961","-3.777","-8.156","2.821","57.663","-33.406","51.51","1006.34"
"65","1538105580.4699423","2018-09-28_113300","54.088","-0.566","0.472","-0.749","-0.824","-1.961","-9.277","4.407","57.486","-34.599","51.51","1006.35"
"66","1538105580.4956648","2018-09-28_113300","54.064","-0.57","0.469","-0.745","1.03","1.472","-6.714","3.173","56.602","-35.11","51.51","1006.35"
"67","1538105580.5267558","2018-09-28_113300","54.079","-0.578","0.471","-0.76","1.793","3.761","-4.898","4.407","56.425","-34.599","51.51","1006.32"
"68","1538105580.5496871","2018-09-28_113300","54.055","-0.583","0.481","-0.763","-0.114","3.914","-3.471","2.644","56.779","-34.599","51.51","1006.32"
"69","1538105580.5733805","2018-09-28_113300","54.082","-0.583","0.475","-0.753","-2.968","1.534","-3.616","2.997","55.364","-34.258","51.51","1006.32"
"70","1538105580.5963497","2018-09-28_113300","54.082","-0.574","0.465","-0.75","-3.792","-0.229","-4.303","1.058","56.248","-33.406","51.51","1006.33"
"71","1538105580.6195161","2018-09-28_113300","54.085","-0.568","0.451","-0.747","-2.838","2.106","-5.096","3.878","56.956","-34.769","51.51","1006.33"
"72","1538105580.645843","2018-09-28_113300","54.073","-0.557","0.434","-0.74","-1.19","9.705","-3.288","2.644","57.133","-32.213","51.51","1006.33"
"73","1538105580.669234","2018-09-28_113300","54.088","-0.571","0.417","-0.748","0.58","16.975","-0.74","3.526","58.017","-33.747","51.51","1006.33"
"74","1538105580.69472","2018-09-28_113300","54.091","-0.579","0.414","-0.771","3.555","17.639","0.443","4.76","56.779","-34.599","51.51","1006.33"
"75","1538105580.7174983","2018-09-28_113300","54.046","-0.585","0.418","-0.784","4.135","10.147","-2.823","2.821","56.602","-34.088","51.51","1006.33"
"76","1538105580.7463734","2018-09-28_113300","54.061","-0.58","0.413","-0.788","1.854","0.648","-6.386","2.997","56.779","-33.917","51.51","1006.31"
"77","1538105580.7692692","2018-09-28_113300","54.046","-0.593","0.445","-0.818","2.937","-5.852","-5.386","2.997","57.84","-35.622","51.51","1006.31"
"78","1538105580.797286","2018-09-28_113300","54.097","-0.578","0.462","-0.743","4.379","-7.057","-8.507","3.878","58.017","-35.451","51.51","1006.35"
"79","1538105580.8203876","2018-09-28_113300","54.082","-0.553","0.475","-0.745","5.623","-1.122","-1.03","4.584","56.956","-35.11","51.51","1006.35"
"80","1538105580.8478386","2018-09-28_113300","54.088","-0.565","0.501","-0.763","1.534","1.32","1.526","5.113","57.84","-34.94","51.51","1006.35"
"81","1538105580.8707569","2018-09-28_113300","54.097","-0.562","0.484","-0.772","-2.594","1.556","-1.06","2.997","56.425","-33.917","51.51","1006.33"
"82","1538105580.8955524","2018-09-28_113300","54.043","-0.566","0.468","-0.772","-1.93","-0.008","-0.046","4.055","55.718","-33.576","51.51","1006.33"
"83","1538105580.9415581","2018-09-28_113300","54.061","-0.569","0.487","-0.776","-6.714","-4.57","-0.175","4.407","58.548","-34.94","51.51","1006.31"
"84","1538105580.9705105","2018-09-28_113300","54.094","-0.556","0.472","-0.745","-9.171","-3.799","-1.587","2.821","56.956","-34.769","51.51","1006.31"
"85","1538105580.9985516","2018-09-28_113300","54.058","-0.554","0.447","-0.732","-7.37","-0.443","-0.961","3.878","57.309","-33.747","51.51","1006.31"
"86","1538105581.023609","2018-09-28_113301","54.073","-0.567","0.439","-0.743","-5.508","4.433","-0.397","4.76","56.425","-32.895","51.51","1006.34"
"87","1538105581.0507693","2018-09-28_113301","54.052","-0.572","0.431","-0.759","-2.289","5.653","-0.587","4.231","56.956","-34.088","51.51","1006.34"
"88","1538105581.073838","2018-09-28_113301","54.073","-0.573","0.442","-0.771","-2.365","3.174","-3.342","4.936","56.602","-34.088","51.51","1006.33"
"89","1538105581.1025634","2018-09-28_113301","54.052","-0.573","0.444","-0.755","-1.648","-1.915","-10.361","2.821","57.663","-34.088","51.51","1006.33"
"90","1538105581.1357548","2018-09-28_113301","54.094","-0.572","0.437","-0.742","-0.435","-3.922","-7.027","2.644","57.486","-34.599","51.51","1006.34"
"91","1538105581.173148","2018-09-28_113301","54.091","-0.58","0.439","-0.771","2.022","-0.275","-2.953","2.468","58.371","-34.088","51.52","1006.35"
"92","1538105581.20395","2018-09-28_113301","54.076","-0.574","0.463","-0.778","0.275","-0.374","-1.213","4.231","57.663","-33.065","51.52","1006.35"
"93","1538105581.2434235","2018-09-28_113301","54.067","-0.559","0.464","-0.761","-2.113","-3.128","-2.487","4.231","58.017","-34.429","51.52","1006.36"
"94","1538105581.2753823","2018-09-28_113301","54.073","-0.561","0.42","-0.747","-2.335","1.198","-1.472","4.231","57.663","-34.769","51.52","1006.33"
"95","1538105581.3072143","2018-09-28_113301","54.1","-0.58","0.412","-0.767","1.022","1.984","2.838","4.936","59.078","-33.747","51.52","1006.33"
"96","1538105581.339472","2018-09-28_113301","54.076","-0.587","0.439","-0.759","3.082","1.152","0.839","4.407","57.84","-33.576","51.52","1006.31"
"97","1538105581.3725715","2018-09-28_113301","54.034","-0.588","0.409","-0.771","0.702","-3.25","-0.565","4.055","56.425","-34.599","51.52","1006.31"
"98","1538105581.4058487","2018-09-28_113301","54.058","-0.586","0.417","-0.775","2.937","-2.06","-1.106","3.878","58.017","-33.406","51.52","1006.32"
"99","1538105581.4359336","2018-09-28_113301","54.127","-0.572","0.429","-0.776","4.105","-1.778","-4.753","3.35","58.548","-34.258","51.52","1006.32"
"100","1538105581.4729176","2018-09-28_113301","54.094","-0.583","0.465","-0.753","1.175","4.837","-3.288","2.821","56.602","-35.451","51.52","1006.32"
"101","1538105581.503774","2018-09-28_113301","54.076","-0.58","0.465","-0.739","3.601","9.361","-0.015","3.526","58.017","-33.747","51.52","1006.33"
"102","1538105581.5386193","2018-09-28_113301","54.091","-0.575","0.476","-0.756","1.427","3.281","1.076","5.994","57.309","-36.474","51.52","1006.33"
"103","1538105581.5729434","2018-09-28_113301","54.097","-0.596","0.466","-0.787","-3.471","-7.675","-1.289","5.113","58.194","-35.963","51.52","1006.32"
"104","1538105581.6039307","2018-09-28_113301","54.097","-0.569","0.469","-0.773","-3.998","-11.383","-0.359","4.76","59.255","-36.303","51.52","1006.32"
"105","1538105581.6395957","2018-09-28_113301","54.088","-0.557","0.471","-0.739","-9.232","-8.141","-2.403","5.289","58.371","-33.747","51.52","1006.34"
"106","1538105581.670722","2018-09-28_113301","54.079","-0.552","0.448","-0.739","-7.393","0.221","-2.403","5.818","59.609","-35.622","51.52","1006.34"
"107","1538105581.7069528","2018-09-28_113301","54.082","-0.56","0.434","-0.738","-6.546","8.141","-7.072","3.35","58.901","-33.917","51.52","1006.32"
"108","1538105581.73917","2018-09-28_113301","54.07","-0.579","0.409","-0.735","-2.38","9.422","-9.209","5.641","57.663","-34.088","51.52","1006.32"
"109","1538105581.7696073","2018-09-28_113301","54.082","-0.592","0.404","-0.768","2.197","7.172","-5.814","4.055","59.255","-34.258","51.52","1006.33"
"110","1538105581.800216","2018-09-28_113301","54.067","-0.6","0.447","-0.804","1.259","2.556","-0.175","3.878","59.432","-34.088","51.52","1006.33"
"111","1538105581.8377109","2018-09-28_113301","54.082","-0.579","0.448","-0.748","-0.648","-3.639","2.258","4.936","57.309","-34.769","51.52","1006.33"
"112","1538105581.8725755","2018-09-28_113301","54.094","-0.597","0.413","-0.744","-1.518","-10.803","6.416","3.878","58.371","-33.406","51.52","1006.33"
"113","1538105581.9029534","2018-09-28_113301","54.091","-0.59","0.402","-0.757","5.73","-10.963","2.93","4.407","58.194","-34.94","51.52","1006.33"
"114","1538105581.941313","2018-09-28_113301","54.058","-0.579","0.452","-0.773","2.655","-4.951","0.977","5.465","57.486","-33.917","51.52","1006.33"
"115","1538105581.9749568","2018-09-28_113301","54.094","-0.59","0.421","-0.756","-1.732","-2.121","-2.06","4.407","58.194","-34.258","51.52","1006.32"
"116","1538105581.999485","2018-09-28_113301","54.085","-0.594","0.404","-0.773","0.32","0.381","-0.938","3.35","58.548","-33.235","51.52","1006.32"
"117","1538105582.035222","2018-09-28_113302","54.088","-0.598","0.411","-0.759","2.106","-0.45","-6.287","5.641","58.017","-35.792","51.52","1006.31"
"118","1538105582.0690372","2018-09-28_113302","54.082","-0.598","0.435","-0.778","6.393","-0.687","-3.174","4.584","58.371","-33.065","51.52","1006.31"
"119","1538105582.0935287","2018-09-28_113302","54.058","-0.594","0.465","-0.756","3.662","2.098","0.725","4.407","57.84","-34.94","51.52","1006.32"
"120","1538105582.1184816","2018-09-28_113302","54.088","-0.586","0.477","-0.75","1.671","1.053","1.48","4.055","58.548","-35.281","51.52","1006.32"
"121","1538105582.147459","2018-09-28_113302","54.088","-0.584","0.462","-0.751","-2.769","-4.845","-0.587","3.173","58.371","-33.747","51.52","1006.32"
"122","1538105582.1822066","2018-09-28_113302","54.1","-0.592","0.453","-0.757","-3.677","-6.691","-1.472","4.936","59.078","-34.429","51.53","1006.34"
"123","1538105582.214352","2018-09-28_113302","54.091","-0.587","0.464","-0.756","-3.86","-3.51","1.503","2.997","59.609","-33.917","51.53","1006.34"
"124","1538105582.2418184","2018-09-28_113302","54.088","-0.574","0.462","-0.733","-6.508","-2.266","-0.656","3.878","58.371","-34.088","51.53","1006.33"
